code,example,question_code,question_text,calculation_step,answer,learning_type,criteria_id,mastery_id
27,Kedalaman,111RTP627,"Seorang penyelam turun 20 m (−20 m), naik 5 m, kemudian turun lagi 3 m. Nyatakan kedalaman akhir.",-20 + 5 - 3 = -18.,-18 m,R,1.1.1,TP6
28,Ekonomi,111RTP628,"Prestasi syarikat: Isnin +RM8, Selasa -RM5. Hari manakah lebih baik dan berapa beza?",Beza = 8 - (-5) = 13.,"Isnin, beza RM13",R,1.1.1,TP6
29,Ketinggian,111RTP629,"Ketinggian tiga lokasi: A +250 m, B +400 m, C -50 m. Susun daripada paling rendah ke paling tinggi.",-50 < +250 < +400.,"C, A, B",R,1.1.1,TP6
30,Suhu,111RTP630,"Sampel suhu makmal: X -8°C, Y -2°C, Z +1°C. Yang manakah paling hampir dengan 0°C?",Bandingkan jarak: |-2| = 2 paling kecil.,Y,R,1.1.1,TP6
31,Suhu,111VTP131,Nyatakan nombor yang lebih besar antara -3°C dan +4°C.,Bandingkan pada garis nombor/termometer; nilai di kanan sifar lebih besar.,4,V,1.1.1,TP1
32,Aras laut,111VTP132,Yang manakah lebih tinggi relatif kepada aras laut: -6 m atau +2 m?,"Nilai positif berada di atas aras laut, jadi lebih tinggi.",2,V,1.1.1,TP1
33,Akaun bank,111VTP133,Akaun mana yang lebih banyak wang: -RM15 atau +RM5?,Nilai positif menunjukkan baki; negatif menunjukkan hutang.,RM 5.00,V,1.1.1,TP1
34,Lif,111VTP134,Lif berada di tingkat -2 dan +1. Mana lebih hampir ke tingkat 0 ke atas?,"Antara -2 dan +1, +1 berada di atas 0.",1,V,1.1.1,TP1
35,Skor permainan,111VTP135,Pemain A mempunyai -4 mata dan Pemain B +3 mata. Siapa di hadapan?,Skor positif lebih tinggi daripada skor negatif.,Pemain B,V,1.1.1,TP1
36,Garis nombor,111VTP236,Yang manakah lebih dekat dengan sifar: -1 atau +1?,Jarak ke sifar sama; kedua-duanya 1 unit dari 0.,Kedua-dua sama,V,1.1.1,TP2
37,Ketinggian,111VTP237,Tentukan yang mempunyai nilai negatif: +800 m (gunung) atau -120 m (gua).,Nilai di bawah aras rujukan (gua) adalah negatif.,-120 m,V,1.1.1,TP2
38,Akaun bank,111VTP238,Yang manakah menunjukkan hutang: +RM12 atau -RM7?,Jumlah dengan tanda '-' ialah hutang.,-RM 7.00,V,1.1.1,TP2
39,Suhu beku,111VTP239,"Pilih semua suhu di bawah 0°C: -5°C, -1°C, +2°C.",Suhu kurang daripada 0 ialah -5°C dan -1°C.,"-5°C, -1°C",V,1.1.1,TP2
40,Tangga,111VTP240,Nyatakan pergerakan yang mewakili nombor positif: turun 3 (-3) atau naik 2 (+2)?,Pergerakan naik dari aras rujukan adalah positif.,2,V,1.1.1,TP2
41,Suhu bandar,111VTP341,"Susun suhu daripada paling sejuk ke paling panas: A=-4°C, B=+1°C, C=-2°C.",Lebih kecil bermaksud lebih sejuk: -4 < -2 < +1.,"A, C, B",V,1.1.1,TP3
42,Aras,111VTP342,"Nyatakan tertib menaik bagi P=+5 m, Q=-3 m, R=0 m.",Tertib menaik: -3 < 0 < +5.,"Q, R, P",V,1.1.1,TP3
43,Akaun bank,111VTP343,"Siapakah mempunyai baki kedua terbanyak? Amir -RM2, Bala +RM4, Chia -RM1.","Susun: -2, -1, +4 ⇒ kedua terbanyak ialah -1 (Chia).",Chia,V,1.1.1,TP3
44,Garis nombor,111VTP344,"Antara -1 dan 0, yang manakah lebih besar?",0 lebih besar daripada -1 kerana berada di kanan pada garis nombor.,0,V,1.1.1,TP3
45,Suhu harian,111VTP345,"Antara Pagi -2°C dan Malam -1°C, yang manakah lebih panas?",-1°C lebih besar daripada -2°C.,Malam,V,1.1.1,TP3
46,Lif,111VTP446,Yang manakah lebih jauh dari aras 0: naik 4 (+4) atau turun 6 (-6)?,"Bandingkan nilai mutlak: |+4|=4, |-6|=6 ⇒ -6 lebih jauh.",-6,V,1.1.1,TP4
47,Suhu,111VTP447,Wakilkan perubahan dari 0°C ke -7°C sebagai integer bertanda.,Turun 7 darjah dari sifar ⇒ -7.,-7,V,1.1.1,TP4
48,Aras laut,111VTP448,Tasik terletak 3 m di bawah aras laut. Tulis integernya.,Di bawah aras rujukan ⇒ -3.,-3,V,1.1.1,TP4
49,Kredit prabayar,111VTP449,Baki kredit berkurang RM8 daripada 0. Wakilkan sebagai nombor bertanda.,Kekurangan dari sifar ke bawah ⇒ -8.,-8,V,1.1.1,TP4
50,Suhu peralatan,111VTP450,"Antara peti sejuk +2°C dan peti beku -10°C, yang manakah lebih besar?","+2°C berada di atas 0, lebih besar daripada -10°C.",+2°C,V,1.1.1,TP4
51,Pendakian,111VTP551,"Mula di 0 m, naik 5 m, kemudian turun 9 m. Tentukan kedudukan akhir.",0 + 5 - 9 = -4.,-4 m,V,1.1.1,TP5
52,E-wallet,111VTP552,"Baki +RM6, belanja RM9. Apakah integer untuk baki baharu?",+6 - 9 = -3.,-RM 3.00,V,1.1.1,TP5
53,Suhu bandar,111VTP553,Bandingkan -2°C ke +1°C: yang manakah lebih panas sekarang dan berapa beza?,+1°C lebih besar; beza 3°C.,"+1°C, beza 3°C",V,1.1.1,TP5
54,Penyelam,111VTP554,"Antara -18 m dan -5 m, yang manakah lebih dekat ke permukaan?",-5 lebih hampir kepada 0.,-5 m,V,1.1.1,TP5
55,Skor permainan,111VTP555,"Skor: mula 0, kehilangan 7, kemudian tambah 3. Apakah skor akhir dan tandanya?",0 - 7 + 3 = -4 ⇒ negatif.,-4 (negatif),V,1.1.1,TP5
56,Indeks sejuk,111VTP656,"Indeks sejuk < 0 dianggap ekstrem. Pilih semua yang ekstrem: -12, -3, +5.",Ekstrem sejuk < 0 ⇒ -12 dan -3; +5 tidak.,"-12, -3",V,1.1.1,TP6
57,Ekonomi,111VTP657,"Hari 1: +RM4 (untung), Hari 2: -RM9 (rugi). Hari mana lebih baik?",Nilai positif melebihi sifar ⇒ +RM4 lebih baik.,Hari 1 (+RM4),V,1.1.1,TP6
58,Landskap,111VTP658,"Susun daripada paling rendah ke paling tinggi: Bukit A +60 m, Terowong B -15 m, Jambatan C +5 m.","Paling rendah -15, kemudian +5, kemudian +60.","B, C, A",V,1.1.1,TP6
59,Makmal,111VTP659,"Sampel X -18°C, Y -22°C. Sampel mana lebih hangat dan berapa beza?",-18 lebih besar (lebih hangat); beza 4°C.,"X, beza 4°C",V,1.1.1,TP6
60,Stok sejuk beku,111VTP660,"Had selamat -15°C; rak menunjukkan -12°C, -17°C, -15°C. Pilih semua yang TIDAK selamat.","Tidak selamat jika > -15°C ⇒ -12°C; -15°C had (selamat), -17°C lebih sejuk (selamat).",-12°C,V,1.1.1,TP6
61,Perbezaan suhu,111RTP106,Suhu di Genting Highlands ialah -1°C manakala di Johor Bahru ialah +8°C. Bandar manakah lebih panas?,Nilai positif lebih tinggi daripada negatif.,Johor Bahru,R,1.1.1,TP1
62,Kedudukan,111RTP107,"Kedudukan dua lokasi: Bangunan +15 m, Terowong -8 m. Lokasi manakah di atas aras tanah?",Nilai positif berada di atas aras rujukan.,Bangunan,R,1.1.1,TP1
63,Baki,111RTP108,"Baki dua akaun: Akaun A -RM7, Akaun B +RM2. Akaun manakah menunjukkan hutang?",Nilai negatif menunjukkan hutang.,Akaun A,R,1.1.1,TP1
64,Perubahan suhu,111RTP211,Suhu turun 4°C dari 0°C. Nyatakan suhu baharu sebagai integer bertanda.,Turun dari sifar ⇒ nombor negatif.,-4°C,R,1.1.1,TP2
65,Paras,111RTP212,Paras air naik 2 m dari paras normal (0 m). Nyatakan integer yang mewakili keadaan tersebut.,Naik dari aras normal ⇒ nombor positif.,2,R,1.1.1,TP2
66,Skor,111RTP213,"Skor tiga pemain: Ahmad -1, Bakar +2, Chong 0. Siapakah mempunyai skor tertinggi?",Nilai paling positif adalah tertinggi.,Bakar,R,1.1.1,TP2
67,Perbandingan,111RTP316,"Bandingkan tiga suhu: -5°C, -2°C, +1°C. Yang manakah paling sejuk?",Nilai paling negatif adalah paling sejuk.,-5°C,R,1.1.1,TP3
68,Perbezaan,111RTP317,Perbezaan antara +12 dan -8 adalah?,Kira beza: +12 - (-8) = 20.,20,R,1.1.1,TP3
69,Susunan,111RTP318,"Susun daripada paling kecil ke paling besar: -4, +1, -1, 0.",Susun: -4 < -1 < 0 < +1.,"-4, -1, 0, +1",R,1.1.1,TP3
70,Operasi,111RTP421,Hitung: -6 + 10 - 3.,Kira: -6 + 10 - 3 = +1.,1,R,1.1.1,TP4
71,Perubahan,111RTP422,Suhu berubah dari -5°C ke +3°C. Berapakah perubahan suhu?,Perubahan = +3 - (-5) = +8.,+8°C,R,1.1.1,TP4
72,Kedudukan akhir,111RTP423,"Bermula dari -3, naik 7, kemudian turun 2. Apakah kedudukan akhir?",-3 + 7 - 2 = +2.,2,R,1.1.1,TP4
73,Operasi kompleks,111RTP526,Hitung: -8 + 12 - 5 + 3.,Kira: -8 + 12 - 5 + 3 = +2.,2,R,1.1.1,TP5
74,Perubahan berturutan,111RTP527,"Suhu mula -4°C, naik 6°C, kemudian turun 2°C. Apakah suhu akhir?",-4 + 6 - 2 = 0.,0°C,R,1.1.1,TP5
75,Baki akhir,111RTP528,"Baki awal -RM6, tambah RM15, kemudian tolak RM4. Apakah baki akhir?",-6 + 15 - 4 = +5.,RM 5.00,R,1.1.1,TP5
76,Operasi majmuk,111RTP631,Hitung: -15 + 20 - 8 + 5 - 2.,Kira: -15 + 20 - 8 + 5 - 2 = 0.,0,R,1.1.1,TP6
77,Perubahan kompleks,111RTP632,"Kedudukan mula -10, naik 12, turun 5, naik 3. Apakah kedudukan akhir?",-10 + 12 - 5 + 3 = 0.,0,R,1.1.1,TP6
78,Perbandingan kompleks,111RTP633,Bandingkan: -20 + 15 dengan -10 + 8. Yang manakah lebih besar?,-20 + 15 = -5; -10 + 8 = -2; -2 > -5.,-10 + 8,R,1.1.1,TP6
